INDICE;LATITUDE;LONGITUDE;CODIGO_ROTA;SEQUENCIA;LOGRADOURO;NUMERO
400157784.0;-22.816401;-43.320162;72_201;253.0;CARI LEVI;39
400157194.0;-22.812308;-43.31776;72_212;466.0;ANTONIO LOPES;86
400158209.0;-22.811376;-43.318458;72_212;102.0;QUINCAS LARANJEIRAS;71
400158282.0;-22.814285;-43.317842;72_213;382.0;QUINCAS LARANJEIRAS;144
400139780.0;-22.814864;-43.322697;72_201;83.0;CARI LEVI;264
400157201.0;-22.811665;-43.317851;72_212;459.0;ANTONIO LOPES;93
400483666.0;-22.802592;-43.324222;604_3;8.0;TALES DE CARVALHO;46
400158152.0;-22.809337;-43.318981;72_212;196.0;QUINCAS LARANJEIRAS;14
400372647.0;-22.812735;-43.329163;72_203;60.0;SAO CIRO;108
400157785.0;-22.816401;-43.320162;72_201;254.0;CARI LEVI;39
400157581.0;-22.8138;-43.317684;72_214;279.0;LOURIVAL INACIO;126
401350929.0;-22.810795;-43.319447;72_211;368.0;JORN GERALDO ROCHA;691
400355208.0;-22.814414;-43.32139;72_201;379.0;JORGE LACERDA;21
400532817.0;-22.815113;-43.321318;72_201;325.0;GAL MAGALHAES BARATA;210
401609654.0;-22.803248;-43.325638;72_207;206.0;FLAVIO DA SILVEIRA;103
400157465.0;-22.809094;-43.318723;72_212;237.0;LOURIVAL INACIO;7
400481169.0;-22.808295;-43.324258;72_208;331.0;OTAVIO MANGABEIRA;26
400157479.0;-22.809529;-43.318623;72_212;230.0;LOURIVAL INACIO;21
400158145.0;-22.809145;-43.318977;72_212;177.0;QUINCAS LARANJEIRAS;7
400385214.0;-22.806556;-43.326747;72_206;312.0;PINTOR MARQUES JUNIOR;223
400481168.0;-22.808295;-43.324258;72_208;331.0;OTAVIO MANGABEIRA;26
400158150.0;-22.809276;-43.318996;72_212;195.0;QUINCAS LARANJEIRAS;12
400157497.0;-22.810082;-43.318495;61_0;0.0;LOURIVAL INACIO;39
400255724.0;-22.811856;-43.322042;72_211;2.0;JORN GERALDO ROCHA;375
400157119.0;-22.809187;-43.318437;72_212;388.0;ANTONIO LOPES;11
400356566.0;-22.811652;-43.321308;72_211;419.0;ROBERT SCHUMANN;682
